question_id,sample_id,participant_id,video_id,video_paths,video_file_paths,has_uploaded_sample_video,annotation_task_type,task_type,cognitive_level,question,option_a,option_b,option_c,option_d,correct_option,evidence_temporal,evidence_spatial,reasoning_chain,annotator_id,created_at,qc_status,annotation_source
egomonth_qa_000001,001,001,001_0001,001/001_0001.mp4,videos/001/001_0001.mp4,false,event_counting,Event Counting,Level 3: Cascading Reasoning,<001_0001.mp4>How many buses did the user board in total,A.1,B.2,C.3,D.4,B,"ev_03,ev_05",,The user boarded two buses in total,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000002,001,001,001_0001,001/001_0001.mp4,videos/001/001_0001.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0001.mp4>How many floors does the user live on in total,A.7,B.8,C.10,D.11,D,ev_02,,There are a total of 11 floors where the user resides,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000003,001,001,001_0002,001/001_0002.mp4,videos/001/001_0002.mp4,false,object_location,Object Location,Level 2: Episodic Indexing,<001_0002.mp4>Where is the TV located in the TV cabinet,A.Above,B.below,C.left,D.right,A,ev_08,,The TV is on top of the TV cabinet,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000004,001,001,001_0002,001/001_0002.mp4,videos/001/001_0002.mp4,false,object_location,Object Location,Level 2: Episodic Indexing,<001_0002.mp4>Where is the coffee table on the TV,A.Above,B.below,C.left,D.front,D,ev_08,,The coffee table is in front of the TV,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000005,001,001,001_0002,001/001_0002.mp4,videos/001/001_0002.mp4,false,object_location,Object Location,Level 2: Episodic Indexing,<001_0002.mp4>Where is the coffee table on the sofa,A.Above,B.below,C.left,D.front,D,ev_08,,The coffee table is in front of the sofa,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000006,001,001,001_0002,001/001_0002.mp4,videos/001/001_0002.mp4,false,object_location,Object Location,Level 2: Episodic Indexing,<001_0002.mp4>Where is the wine cabinet located on the coffee table,A.Above,B.below,C.left,D.right side,D,ev_08,,The wine cabinet is on the right side of the coffee table,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000007,001,001,001_0002,001/001_0002.mp4,videos/001/001_0002.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0002.mp4>What fruits did the user eat,A.Bananas,B.apples,C.oranges,D.watermelons,A,ev_11,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000008,001,001,001_0002,001/001_0002.mp4,videos/001/001_0002.mp4,false,self_localization,Self-Localization,Level 2: Episodic Indexing,<001_0002.mp4>Where is the user at 13:14 in the video,A.living room,B.bedroom,C.bathroom,D.dining room,A,ev_12,,The user is in the living room at 13:14 in the video,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000009,001,001,001_0003,001/001_0003.mp4,videos/001/001_0003.mp4,false,cross_view_spatial_reasoning,Cross-View Spatial Reasoning,Level 3: Cascading Reasoning,<001_0003.mp4>Which room does the user need to pass through from the bedroom to the living room,A.living room,B.bedroom,C.bathroom,D.dining room,C,ev_16,,Users need to pass through the bathroom from the bedroom to the living room,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000010,001,001,001_0004,001/001_0004.mp4,videos/001/001_0004.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0004.mp4> What color are the words on the light sign,A.black,B.pink,C.green,D.yellow,C,ev_04,,04:18The words on the light sign are green,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000011,001,001,001_0006,001/001_0006.mp4,videos/001/001_0006.mp4,false,event_time,Event Time,Level 2: Episodic Indexing,<001_0006.mp4> Which segment of the video does the user work in the company,A.02:52-08:10,B.09:10-10:55,C.12:25-15:50,D.none,D,"ev_25,ev_26,ev_27,ev_28,ev_29,ev_30,ev_31,",,The user in the video is not working at the company,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000012,001,001,001_0007,001/001_0007.mp4,videos/001/001_0007.mp4,false,procedure_planning,Procedure Planning,Level 3: Cascading Reasoning,<001_0007.mp4>What is the order in which users go to the three supermarkets ,A.supermarket_01->supermarket_02->supermarket_03,B.supermarket_02->supermarket_01->supermarket_03,C.supermarket_03->supermarket_02->supermarket_01,D.None,A,"ev_34,ev_37,ev_39,",,"The user first went to Supermarket 1, then to Supermarket 2, and finally to Supermarket 3",worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000013,001,001,001_0008,001/001_0008.mp4,videos/001/001_0008.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0008.mp4>What are users doing with their laptops,A.watch short videos,B.Create PPT,C.play games,D.listen to music,B,ev_41,,Users make PPT on laptops,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000014,001,001,001_0009,001/001_0009.mp4,videos/001/001_0009.mp4,false,direction_judgement,Direction Judgment,Level 3: Cascading Reasoning,<001_0009.mp4>Do users need to turn left or right at the school entrance when they arrive at the takeaway cabinet,A.turn left,B.turn right,C.None,D.None,B,ev_44,,Turn right at the school gate to reach the takeaway cabinet,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000015,001,001,001_0010,001/001_0010.mp4,videos/001/001_0010.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0010.mp4>Is the user leaving the library during the day or at night,A.Day,B.night,C.None,D.None,B,ev_48,,The user left the library at night,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000016,001,001,001_0011,001/001_0011.mp4,videos/001/001_0011.mp4,false,object_location,Object Location,Level 2: Episodic Indexing,<001_0011.mp4>Where is the laptop placed when the user is learning,A.On the table,B.on the bed,C.on the ground,D.in the hands,B,ev_49,,Users are learning in bed,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000017,001,001,001_0012,001/001_0012.mp4,videos/001/001_0012.mp4,false,object_counting_global,Object Counting,Level 3: Cascading Reasoning,<001_0012.mp4>How many rooms are the user active in total,A.6,B.5,C.4,D.3,D,ev_53,,The user is active in a total of 3 rooms,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000018,001,001,001_0013,001/001_0013.mp4,videos/001/001_0013.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0013.mp4>Which talk show is the user watching,A.Xiaoguo comedy,B.Laughing comedy,C.Xifan Comedy,D.Mars comedy,C,ev_58,,"The user is watching a comedy show called Xifan, and while waiting for the show, there is a Xifan comedy label on stage",worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000019,001,001,"001_0015,001_0017,001_0018,001_0026,001_0029",001/001_0015.mp4|001/001_0017.mp4|001/001_0018.mp4|001/001_0026.mp4|001/001_0029.mp4,videos/001/001_0015.mp4|videos/001/001_0017.mp4|videos/001/001_0018.mp4|videos/001/001_0026.mp4|videos/001/001_0029.mp4,false,habit_inference,Habit Inference,Level 1: Schema Consolidation,<001_0015.mp4><001_0017.mp4><001_0018.mp4><001_0026.mp4><001_0029.mp4>What are the habits of users when studying in the library,A.Using electronic devices,B.drink water,C.speak,D.Get up and walk back and forth,A,"ev_64,ev_72,ev_73,ev_86,ev_91",,Users use electronic devices every time they study in the library,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000020,001,001,"001_0021,001_0024,001_0028,001_0030,001_0037",001/001_0021.mp4|001/001_0024.mp4|001/001_0028.mp4|001/001_0030.mp4|001/001_0037.mp4,videos/001/001_0021.mp4|videos/001/001_0024.mp4|videos/001/001_0028.mp4|videos/001/001_0030.mp4|videos/001/001_0037.mp4,false,habit_inference,Habit Inference,Level 1: Schema Consolidation,<001_0021.mp4><001_0024.mp4><001_0028.mp4><001_0030.mp4><001_0037.mp4>How do users go to the teaching building every day,A.Bicycle,B.electric bike,C.car,D.walk,D,"ev_78,ev_83,ev_88,ev_92,ev_108",,Users walk to the teaching building every day,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000021,001,001,001_0020,001/001_0020.mp4,videos/001/001_0020.mp4,false,procedure_planning,Procedure Planning,Level 3: Cascading Reasoning,<001_0020.mp4>What is the order in which users make purchases,A.Enter the snack shop->buy snacks->checkout-> exit the snack shop,B.buy snacks->Enter the snack shop->checkout-> exit the snack shop,C.checkout->Enter the snack shop->buy snacks-> exit the snack shop,D.exit the snack shop->Enter the snack shop->buy snacks->checkout,A,"ev_76,ev_77",,"Enter the snack shop, buy snacks, checkout, and exit the snack shop",worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000022,001,001,001_0021,001/001_0021.mp4,videos/001/001_0021.mp4,false,event_counting,Event Counting,Level 3: Cascading Reasoning,<001_0021.mp4>How many times do users have to climb the stairs on their way to the teaching building,A.1,B.2,C.3,D.4,C,"ev_78,ev_79",,The user has to climb the stairs three times on their way to the teaching building,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000023,001,001,001_0024,001/001_0024.mp4,videos/001/001_0024.mp4,false,direction_judgement,Direction Judgment,Level 3: Cascading Reasoning,<001_0024.mp4>Do users turn left or right after getting off the pedestrian bridge on their way to the teaching building,A.turn left,B.turn right,C.None,D.None,A,ev_83,,"After getting off the pedestrian bridge on the way to the teaching building, the user turns left",worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000024,001,001,"001_0021,001_0024,001_0028,001_0030,001_0037",001/001_0021.mp4|001/001_0024.mp4|001/001_0028.mp4|001/001_0030.mp4|001/001_0037.mp4,videos/001/001_0021.mp4|videos/001/001_0024.mp4|videos/001/001_0028.mp4|videos/001/001_0030.mp4|videos/001/001_0037.mp4,false,habit_inference,Habit Inference,Level 1: Schema Consolidation,<001_0021.mp4><001_0024.mp4><001_0028.mp4><001_0030.mp4><001_0037.mp4>Do users have the habit of buying breakfast,A.have,B.have not,C.None,D.None,B,"ev_78,ev_83,ev_88,ev_92,ev_108",,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000025,001,001,001_0025,001/001_0025.mp4,videos/001/001_0025.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0025.mp4>How many intersections did the user pass through on their way back to school,A.1,B.2,C.3,D.4,A,ev_85,,The user passed through one intersection on their way back to school,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000026,001,001,001_0027,001/001_0027.mp4,videos/001/001_0027.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0027.mp4>A snack shop visited by a user and a few people,A.1,B.2,C.3,D.4,A,ev_87,,Snack shop visited by user and one person,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000027,001,001,"001_0010,001_0015,001_0017,001_0018,001_0026",001/001_0010.mp4|001/001_0015.mp4|001/001_0017.mp4|001/001_0018.mp4|001/001_0026.mp4,videos/001/001_0010.mp4|videos/001/001_0015.mp4|videos/001/001_0017.mp4|videos/001/001_0018.mp4|videos/001/001_0026.mp4,false,habit_inference,Habit Inference,Level 1: Schema Consolidation,<001_0010.mp4><001_0015.mp4><001_0017.mp4><001_0018.mp4><001_0026.mp4>During which time period do users usually study in the library,A.Morning,B.noon,C.afternoon,D.evening,D,"ev_46,ev_64,ev_72,ev_73,ev_86",,Users usually study in the library at night,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000028,001,001,001_0030,001/001_0030.mp4,videos/001/001_0030.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0030.mp4>The user went to the park with a few people,A.1,B.2,C.3,D.4,A,"ev_96,ev_95",,The user went to the park and one person,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000029,001,001,001_0035,001/001_0035.mp4,videos/001/001_0035.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0035.mp4>What else did the user do while eating,A.Watching variety shows,B.playing games,C.singing,D.studying,A,ev_104,,The user also watched a variety show while eating,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000030,001,001,001_0043,001/001_0043.mp4,videos/001/001_0043.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0043.mp4>What drinks did the user buy in the cafeteria,A.Coke,B.Sprite,C.soybean milk,D.sour plum soup,C,ev_123,,The user bought soybean milk,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000031,001,001,001_0047,001/001_0047.mp4,videos/001/001_0047.mp4,false,cross_view_spatial_reasoning,Cross-View Spatial Reasoning,Level 3: Cascading Reasoning,<001_0047.mp4>What is the location relationship between coffee shops and canteens,A.The coffee shop is outside the cafeteria,B.The coffee shop is inside the cafeteria,C.The coffee shop is next to the cafeteria,D.The coffee shop is upstairs from the cafeteria,B,ev_129,,The coffee shop is inside the cafeteria,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000032,001,001,001_0048,001/001_0048.mp4,videos/001/001_0048.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0048.mp4>What are users doing on the roadside,A.Waiting for people,B.waiting for cars,C.buying things,D.selling things,B,ev_142,,Users waiting for taxis by the roadside,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000033,001,001,001_0050,001/001_0050.mp4,videos/001/001_0050.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0050.mp4>The user went to the restaurant with a few people,A.1,B.2,C.3,D.4,D,ev_147,,The user went to therestaurant and four person ,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000034,001,001,001_0052,001/001_0052.mp4,videos/001/001_0052.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0052.mp4>What store is the user in,A.boutique,B.Mobile phone store,C.shoe store,D.cosmetics store,A,ev_149,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000035,001,001,"001_0053,001_0054,001_0056,001_0058",001/001_0053.mp4|001/001_0054.mp4|001/001_0056.mp4|001/001_0058.mp4,videos/001/001_0053.mp4|videos/001/001_0054.mp4|videos/001/001_0056.mp4|videos/001/001_0058.mp4,false,habit_inference,Habit Inference,Level 1: Schema Consolidation,<001_0053.mp4><001_0054.mp4><001_0056.mp4><001_0058.mp4>Speculation on the user's occupation,A.Teacher,B.Principal,C.Security Guard,D.Students,D,"ev_151,ev_154,ev_157,ev_160,ev_161",,The user is a student,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000036,001,001,001_61,001/001_0061.mp4,videos/001/001_0061.mp4,false,procedure_planning,Procedure Planning,Level 3: Cascading Reasoning,<001_0061.mp4>,A.Select style->measure circumference->polish->hammer,B.measure circumference->Select style->polish->hammer,C.polish->measure circumference->Select style->hammer,D.hammer->measure circumference->polish->Select style,A,ev_164,,"The order of making a ring is to choose the style, measure the circumference, polish, and beat",worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000037,001,001,001_0062,001/001_0062.mp4,videos/001/001_0062.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0062.mp4>What cartoon character is the plaster doll painted by the user,A.Crayon Shin chan,B.kitty,C.Pleasant Goat,D.Grey Wolf,A,ev_165,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000038,001,001,"001_0010,001_0015,001_0017,001_0018,001_0026",001/001_0010.mp4|001/001_0015.mp4|001/001_0017.mp4|001/001_0018.mp4|001/001_0026.mp4,videos/001/001_0010.mp4|videos/001/001_0015.mp4|videos/001/001_0017.mp4|videos/001/001_0018.mp4|videos/001/001_0026.mp4,false,personality_inference,Personality Inference,Level 1: Schema Consolidation,<001_0010.mp4><001_0015.mp4><001_0017.mp4><001_0018.mp4><001_0026.mp4>During which time period do users usually study in the library,A.Morning,B.noon,C.afternoon,D.evening,D,"ev_46,ev_64,ev_72,ev_73,ev_86",,Users usually study in the library at night,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000039,001,001,001_0066,001/001_0066.mp4,videos/001/001_0066.mp4,false,object_counting_global,Object Counting,Level 3: Cascading Reasoning,<001_0066.mp4>How many rooms did the user clean in total,A.1,B.2,C.3,D.4,D,ev_170,,The user cleaned a total of 4 rooms,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000040,001,001,001_0066,001/001_0066.mp4,videos/001/001_0066.mp4,false,spatial_relation,Spatial Relation,Level 2: Episodic Indexing,<001_0066.mp4>What is the positional relationship between the living room and the kitchen,A.The living room is across from the kitchen,B.The living room is behind the kitchen,C.The living room is in front of the kitchen,D.The living room is on the left side of the kitchen,A,ev_170,,The living room is across from the kitchen,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000041,001,001,001_0066,001/001_0066.mp4,videos/001/001_0066.mp4,false,object_counting_global,Object Counting,Level 3: Cascading Reasoning,<001_0066.mp4How many bedrooms does the user have in their home,A.1,B.2,C.3,D.4,B,ev_170,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000042,001,001,001_0066,001/001_0066.mp4,videos/001/001_0066.mp4,false,object_counting_global,Object Counting,Level 3: Cascading Reasoning,<001_0066.mp4How many kitchens does the user have in their home,A.1,B.2,C.3,D.4,A,ev_170,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000043,001,001,001_0066,001/001_0066.mp4,videos/001/001_0066.mp4,false,object_counting_global,Object Counting,Level 3: Cascading Reasoning,<001_0066.mp4How many living rooms does the user have in their home,A.1,B.2,C.3,D.4,A,ev_170,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000044,001,001,001_0066,001/001_0066.mp4,videos/001/001_0066.mp4,false,detail_retrieval,Detail Retrieval,Level 2: Episodic Indexing,<001_0066.mp4Should users sweep the floor first or mop the floor first when cleaning,A.sweep the floor,B.mop the floor,C.None,D.None,A,ev_170,,,worker_05,2025-12-6,accepted,global_json_list
egomonth_qa_000045,001,001,001_0069,001/001_0069.mp4,videos/001/001_0069.mp4,false,self_localization,Self-Localization,Level 2: Episodic Indexing,<001_0069.mp4>Where are the users at 06:30,A.Supermarket,B.restaurant,C.hair salon,D.office,C,ev_173,,06:30 User at hair salon,worker_05,2025-12-6,accepted,global_json_list
